nameStd,nameAlt,subtitile,hasRD,hasGR,hasYL,hasBL,hasOR,hasSV,platformType,WBDir,EBDir,compassN
Georgia Avenue-Petworth,Georgia Ave-Petworth,,,TRUE,,,,,Island,Greenbelt,Branch Ave,sw
Glenmont,,,TRUE,,,,,,Terminus EB,Glenmont,Glenmont,se
Greenbelt,,,,TRUE,,,,,Terminus EB,Greenbelt,Greenbelt,ne
Greensboro,,,,,,,,TRUE,Island,Ashburn,Largo,nw
Grosvenor-Strathmore,,,TRUE,,,,,,Island,Shady Grove,Glenmont,w
Herndon,,,,,,,,TRUE,Island,Ashburn,Largo,n
Huntington,,,,,TRUE,,,,Terminus EB,Huntington,Huntington,w
Hyattsville Crossing,,,,TRUE,,,,,Side,Greenbelt,Branch Ave,s
Innovation Center,,,,,,,,TRUE,Island,Ashburn,Largo,n
Judiciary Square,,,TRUE,,,,,,Side,Shady Grove,Glenmont,nw
King Street-Old Town,King St-Old Town,,,,TRUE,TRUE,,,Island,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,sw
L'Enfant Plaza (Lower Level),,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
L'Enfant Plaza (Upper Level),,,,TRUE,TRUE,,,,Side,Greenbelt/Mt Vernon Sq,Branch Ave/Huntington,w
Landover,,,,,,,TRUE,,Island,Vienna,New Carrollton,ne
Loudoun Gateway,,,,,,,,TRUE,Island,Ashburn,Largo,nw
McLean,,,,,,,,TRUE,Island,Ashburn,Largo,ne
McPherson Square,McPherson Sq,,,,,TRUE,TRUE,TRUE,Side,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Medical Center,,,TRUE,,,,,,Island,Shady Grove,Glenmont,w
Metro Center (Lower Level),,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,w
Metro Center (Upper Level),,,TRUE,,,,,,Side,Shady Grove,Glenmont,n
Minnesota Avenue,Minnesota Ave,,,,,,TRUE,,Island,Vienna,New Carrollton,ne
Morgan Boulevard,Morgan Blvd,,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,n
Mount Vernon Square,Mt Vernon Sq,7th St-Convention Center,,TRUE,TRUE,,,,Island,Greenbelt/Mt Vernon Sq,Branch Ave,w
Navy Yard-Ballpark,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
Naylor Road,Naylor Rd,,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
New Carrollton,,,,,,,TRUE,,Terminus EB,New Carrollton,New Carrollton,ne
NoMa-Gallaudet U,,,TRUE,,,,,,Island,Shady Grove,Glenmont,e
North Bethesda,,,TRUE,,,,,,Island,Shady Grove,Glenmont,w
Pentagon,,,,,TRUE,TRUE,,,Gap Island,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,sw
Pentagon City,,,,,TRUE,TRUE,,,Side,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,w
Potomac Avenue,Potomac Ave,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Potomac Yard,,VT,,,TRUE,TRUE,,,Side,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,w
Reston Town Center,,,,,,,,TRUE,Island,Ashburn,Largo,n
Rhode Island Avenue,Rhode Island Ave,Brentwood,TRUE,,,,,,Island,Shady Grove,Glenmont,e
Rockville,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Rosslyn,,,,,,TRUE,TRUE,TRUE,Gap Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,e
Shady Grove,,,TRUE,,,,,,Terminus WB,Shady Grove,Shady Grove,nw
Shaw-Howard U,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,w
Silver Spring,,,TRUE,,,,,,Island,Shady Grove,Glenmont,se
Smithsonian,,National Mall,,,,TRUE,TRUE,TRUE,Side,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,w
Southern Avenue,Southern Ave,,,TRUE,,,,,Island,Greenbelt,Branch Ave,ne
Spring Hill,,,,,,,,TRUE,Island,Ashburn,Largo,nw
Stadium-Armory,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,e
Suitland,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,nw
Takoma,,,TRUE,,,,,,Island,Shady Grove,Glenmont,se
Tenleytown-AU,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Twinbrook,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Tysons,,,,,,,,TRUE,Island,Ashburn,Largo,n
U Street,U St,African-Amer Civil War Mem'l/Cardozo,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
Union Station,,,TRUE,,,,,,Island,Shady Grove,Glenmont,e
Van Dorn Street,Van Dorn St,,,,,TRUE,,,Island,Franconia-Springfield,Largo,n
Van Ness-UDC,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Vienna,,Fairfax-GMU,,,,,TRUE,,Terminus WB,Vienna,Vienna,n
Virginia Square-GMU,,,,,,,TRUE,TRUE,Side,Ashburn/Vienna,Largo/New Carrollton,ne
Washington National Airport,Ronald Reagan Washington National Airport,,,,TRUE,TRUE,,,Gap Island,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,w
Waterfront,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,n
West Falls Church,,VT,,,,,TRUE,,Gap Island,Vienna,New Carrollton,n
West Hyattsville,,,,TRUE,,,,,Side,Greenbelt,Branch Ave,w
Wheaton,,,TRUE,,,,,,Gap Island,Shady Grove,Glenmont,e
Wiehle-Reston East,,,,,,,,TRUE,Island,Ashburn,Largo,n
Woodley Park,,Zoo/Adams Morgan,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
